Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/TestScript-carecommunication-send-tec-07.json	9753	3	0	0	0	0	0	0	2	34	0	0	0	0	0	0	0	1	0	0	269	171	0	0	0	2	0	0
input/resources/CareCommunication_Ex_receive_A-new.json	145984	9	1	0	0	0	101	0	2	4	0	0	0	0	0	0	0	0	0	3	1221	235	0	0	1	0	0	0
input/resources/CareCommunication_Ex_receive_B-reply.json	62463	7	0	0	0	0	13	0	2	1	0	0	0	0	0	0	0	0	0	5	613	202	0	0	0	0	0	2
input/resources/CareCommunication_Ex_receive_C-forward.json	24654	8	0	0	0	0	15	0	2	1	0	0	0	0	0	0	0	0	0	10	309	160	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-A_new_priority.json	16577	8	0	0	0	0	11	0	2	1	0	0	0	0	0	0	0	0	0	2	124	126	0	0	0	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-B_new_attachment.json	374657	14	1	0	0	0	44	0	3	1	0	0	0	0	0	0	0	0	0	3	2683	276	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-C-new_zulutime.json	16248	5	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	2	192	154	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-D_new_timezone.json	16624	9	0	0	0	0	10	0	2	2	0	0	0	0	0	0	0	0	0	3	184	127	0	0	0	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-E_new_EpisodeOfCare-identifier.json	18564	8	0	0	0	0	12	0	5	0	0	0	0	0	0	0	0	0	0	2	197	155	0	0	1	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-F_new_deceased.json	16338	7	0	0	0	0	4	0	2	1	0	0	0	0	0	0	0	0	0	3	161	133	0	0	0	0	0	6
input/resources/CareCommunication_Ex_receive_Tek-G_new_replacementCPR.json	16503	7	0	0	0	0	8	0	2	1	0	0	0	0	0	0	0	0	0	4	113	251	0	0	2	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-H_new_ID.json	15177	4	0	0	0	0	7	0	4	1	0	0	0	0	0	0	0	0	0	4	125	199	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-I_new_moreInfo.json	18803	6	0	0	0	0	6	0	1	1	0	0	0	0	0	0	0	1	0	3	228	176	0	0	0	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-J-new-noOrgName.json	16131	8	0	0	0	0	7	0	2	0	0	0	0	0	0	0	0	0	0	2	264	183	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-K-new-xml.xml	17338	87	0	0	0	0	4	0	1	0	0	0	0	0	0	0	0	0	1	2	156	185	0	0	1	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-L-new-json.json	15203	27	1	0	0	0	5	0	2	1	0	0	0	0	0	0	0	0	0	2	104	167	0	0	0	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-M-new-parallel.json	16373	10	0	0	0	0	4	0	5	1	0	0	0	0	0	0	0	0	0	1	170	149	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-N-reply-parallel.json	62463	15	0	0	0	0	11	0	3	1	0	0	0	0	0	0	0	0	0	4	424	215	0	0	1	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-O-new.json	16516	9	0	0	0	0	17	0	3	1	0	0	0	0	0	0	0	0	0	3	105	109	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-P-reply-order.json	23473	5	0	0	0	0	13	0	5	1	0	0	0	0	0	0	0	0	0	4	149	115	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-Q-new-order.json	16436	8	0	0	0	0	9	0	6	1	0	0	0	0	0	0	0	0	0	1	102	121	0	0	0	0	0	2
input/resources/CareCommunication_Ex_receive_Tek-R-new-dublicate.json	16211	10	0	0	0	0	8	0	3	0	0	0	0	0	0	0	0	0	0	3	118	99	0	0	1	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-S-new-dublicate.json	16272	8	0	0	0	0	9	0	1	1	0	0	0	0	0	0	0	0	0	3	163	88	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-T-new-dublicate.json	16272	8	1	0	0	0	7	0	1	1	0	0	0	0	0	0	0	2	0	2	184	97	0	0	0	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-U-new-dublicate.json	16716	7	0	0	0	0	7	0	1	0	0	0	0	0	0	0	0	0	0	2	144	147	0	0	0	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-V-new-dublicate-invalid.json	16743	8	0	0	0	0	8	0	2	1	0	0	0	0	0	0	0	0	0	3	128	213	0	0	0	0	0	1
input/resources/CareCommunication_Ex_receive_Tek-X-new-dublicate-invalid.json	16743	8	0	0	0	0	8	0	2	0	0	0	0	0	0	0	0	0	0	3	136	109	0	0	1	0	0	0
input/resources/CareCommunication_Ex_receive_Tek-Y-new-invalid.json	9341	5	0	0	0	0	3	0	0	4474	0	0	0	0	0	0	0	0	0	2	164	116	0	0	0	0	0	0
input/resources/CareCommunication_Ex_send-A-new.json	146109	12	0	0	0	0	15	0	3	1	0	0	0	0	0	0	0	0	0	2	1180	200	0	0	1	0	0	0
input/resources/CareCommunication_Ex_send-B-new-attachment.json	31065	10	0	0	0	0	7	0	1	1	0	0	0	0	0	0	0	0	0	2	307	170	0	0	0	0	0	1
input/resources/CareCommunication_Ex_send-C-new-attachment.json	23192	8	0	0	0	0	6	0	2	0	0	0	0	0	0	0	0	0	0	4	343	177	0	0	0	0	0	0
input/resources/CareCommunication_Ex_send-D-new.json	16239	9	0	0	0	0	7	0	3	1	0	0	0	0	0	0	0	0	0	3	169	114	0	0	0	0	0	0
input/resources/CareCommunication_Ex_send-E-new.json	16444	19	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	1	0	5	267	97	0	0	1	0	0	0
input/resources/CareCommunication_Ex_send-F-new-change.json	16387	11	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	2	362	106	0	0	0	0	0	1
input/resources/CareCommunication_Ex_send-H-new.json	16410	12	0	0	0	0	8	0	1	1	0	0	0	0	0	0	0	0	0	2	249	107	0	0	0	0	0	0
input/resources/CareCommunication_Ex_send-I-new-attachment.json	168727	19	1	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	3	1062	171	0	0	0	0	0	1
input/resources/CareCommunication_Ex_send-J-new-change.json	15371	13	0	0	0	0	6	0	0	1	0	0	0	0	0	0	0	0	0	0	104	130	0	0	0	0	0	0
input/resources/CareCommunication_Ex_send-K-forward.json	24634	18	0	0	0	0	19	0	3	0	0	0	0	0	0	0	0	0	0	8	172	122	0	0	0	0	0	0
input/resources/CareCommunication_Ex_send-Tek-A-new-episodeOfCare.json	18211	11	0	0	0	0	65	0	2	0	0	0	0	0	0	0	0	1	0	3	290	92	0	0	1	0	0	1
input/resources/CareCommunication_Ex_send-Tek-B-new-episodeOfCare.json	18355	13	0	0	0	0	12	0	1	0	0	0	0	0	0	0	0	0	0	3	301	124	0	0	0	0	0	0
